trait_name,austraits,extract
life_history,ephemeral,ephemeral
life_history,annual,annual
life_history,biennial,biennial
life_history,perennial,perennial
life_history,short_lived_perennial,shortlivedperennial
plant_growth_form,herb,herb
plant_growth_form,herb,herbaceousperennial
plant_growth_form,herb,forb
plant_growth_form,subshrub,subshrub
plant_growth_form,subshrub,undershrub
plant_growth_form,subshrub,under- shrub
plant_growth_form,subshrub,sub-shrub
plant_growth_form,shrub,bush
plant_growth_form,shrub,bushes
plant_growth_form,shrub,shrub
plant_growth_form,shrub,shrublet
plant_growth_form,shrub,cactus
plant_growth_form,mallee,mallee
plant_growth_form,tree,mallet
plant_growth_form,tree,tree
plant_growth_form,graminoid,graminoid
plant_growth_form,graminoid,grasslike
plant_growth_form,graminoid,sedge
plant_growth_form,tussock,tussock
plant_growth_form,graminoid_not_tussock,
plant_growth_form,hummock,hummock
plant_growth_form,geophyte,geophyte
plant_growth_form,geophyte,geophytic
plant_growth_form,palmoid,palm
plant_growth_form,fern palmoid,treefern
plant_growth_form,climber_herbaceous,herbaceousclimber
plant_growth_form,climber_herbaceous,climbingherb
plant_growth_form,palmoid,treelike
plant_growth_form,climber_herbaceous,vine
plant_growth_form,climber_woody,woodyvine
plant_growth_form,climber_woody,lian[ae]
plant_growth_form,climber_woody,woodytwiner
plant_growth_form,climber_woody,shrubbytwiner
plant_growth_form,climber_woody,woodyclimber
plant_growth_form,climber,climber
plant_growth_form,herb,orchid
plant_growth_form,climber_herbaceous,twiner
plant_growth_form,fern,fern
plant_growth_form,lycophyte,lycophyte
plant_growth_form,graminoid,reed
plant_growth_form,graminoid,rush
plant_growth_form,graminoid,grass
plant_growth_form,basal_large,
plant_growth_substrate,epiphyte,epiphyte
plant_growth_substrate,epiphyte,epiphytic
plant_growth_substrate,hemiepiphyte,hemiepiphyte
plant_growth_substrate,hemiepiphyte,hemiepiphytic
plant_growth_substrate,lithophyte,epilith
plant_growth_substrate,lithophyte,lithophyte
plant_growth_substrate,lithophyte,lithophytic
plant_growth_substrate,aquatic,amphibious
plant_growth_substrate,terrestrial,amphibious
plant_growth_substrate,lithophyte,rockdwelling
plant_growth_substrate,lithophyte,epilithic
plant_growth_substrate,semiaquatic,semiaquatic
plant_growth_substrate,aquatic,freshwater
plant_growth_substrate,aquatic,estuarine
plant_growth_substrate,aquatic,seagrass
plant_growth_substrate,aquatic,submerged
plant_growth_substrate,aquatic,aquatic
plant_growth_substrate,aquatic,marine
plant_growth_substrate,aquatic,freefloating
plant_growth_substrate,terrestrial,terrestrial
stem_growth_habit,erect,erect
stem_growth_habit,caespitose,caespitose
stem_growth_habit,caespitose,tussock
stem_growth_habit,cushion-forming,cushion
stem_growth_habit,mat-forming,forming.* mats
stem_growth_habit,mat-forming,matforming
stem_growth_habit,mat-forming,mat-forming
stem_growth_habit,tufted,tuft
stem_growth_habit,creeping,creeping
stem_growth_habit,decumbent,decumbent
stem_growth_habit,decumbent,ascending
stem_growth_habit,prostrate,prostrate
stem_growth_habit,prostrate,procumbent
stem_growth_habit,prostrate,reclining
stem_growth_habit,prostrate,trailing
stem_growth_habit,rosette,rosette
stem_growth_habit,rosette,acaulescent
stem_growth_habit,rosette,rosulate
stem_growth_habit,climbing,climbing
stem_growth_habit,climbing,scandent
stem_growth_habit,sprawling,sprawling
stem_growth_habit,rhizomatous,rhizomatous
stem_growth_habit,rhizomatous,rhizome
stem_growth_habit,stoloniferous,stoloniferous
stem_growth_habit,spreading,spreading
stem_growth_habit,floating,floating
stem_growth_habit,submerged,submerged
stem_growth_habit,dense,dense
stem_growth_habit,compact,compact
stem_growth_habit,bushy,bushy
stem_growth_habit,spindly,spindly
stem_growth_habit,open,open
stem_growth_habit,arborescent,arborescent
sex_type,androdioecious,androdioecious
sex_type,andromonoecious,andromonoecious
sex_type,dioecious,dioecious
sex_type,gynodioecious,gynodioecious
sex_type,gynomonoecious,gynomonoecious
sex_type,hermaphrodite,hermaphrodite
sex_type,monoecious,monoecious
sex_type,polygamous,polygamous
sex_type,polygamodioecious,polygamodioecious
sex_type,polygamonoecious,polygamonoecious
sex_type,trioecious,trioecious
